filing_date,language,name,entity_status,art_unit
20190415,en,MARVELL WORLD TRADE LTD,large,2631
20180426,en,ADOLITE INC,small,2828
20180130,en,HEWLETT PACKARD ENTPR DEV LP,large,2452
20180207,en,IBM,large,2113
20190726,en,MAX INTERACTIVE INC,small,2847
20180516,en,SONY INTERACTIVE ENTERTAINMENT AMERICA LLC,large,3715
20161028,en,ZOOX INC,large,3665
20160615,en,KONINKLIJKE PHILIPS NV,large,2884
20190726,en,MAX INTERACTIVE INC,small,2847
20180625,en,INVENSAS CORP,large,2813
20190405,en,EASTMAN CHEM CO,large,1762
20180719,en,GEN ELECTRIC,large,2117
20180502,en,AUTOLIV ASP INC,large,3616
20170113,en,AUTOMAT IRRIGATION PVT LTD,large,3752
20181029,en,YAFFE PAUL,small,2654
20190122,en,TRANSIENT PLASMA SYSTEMS INC,small,2842
20171027,en,HYUNDAI MOTOR CO LTD,large,3661
20120302,en,TIBBLE JULIAN DAVID,large,2159
20171027,en,KIA MOTORS CORP,large,3661
20181016,en,THE CHARLES MACHINES WORKS INC,large,3671
20181211,en,PSEMI CORP,large,2649
20180502,en,AUTOLIV ASP INC,large,3616
20160301,en,FORD GLOBAL TECH LLC,large,2649
20160301,en,FORD GLOBAL TECH LLC,large,2649
20180320,en,INTEL CORP,large,2138
20170113,en,FOTECH GROUP LTD,small,2877
20190221,en,IBM,large,2645
20190227,en,THE VIKI GROUP LLC,small,2471
20180219,en,MICROSOFT TECHNOLOGY LICENSING LLC,large,2677
20190513,en,TDK CORP,large,2874
20120813,en,YANG YI,large,2875
20171011,en,ARVINAS INC,small,1626
20151207,en,OTIS ELEVATOR CO,large,3654
20180617,en,ACTELIS NETWORKS ISRAEL LTD,small,2631
20180703,en,WANG DANIEL SK,small,2833
20171025,en,IBM,large,2156
20180510,en,QUALCOMM INC,large,2632
20180504,en,HUAWEI TECH CO LTD,large,2469
20180713,en,RIJK ZWAAN ZAADTEELT EN ZAADHANDEL BV,large,1662
20190514,en,GE VIDEO COMPRESSION LLC,large,2485
20171029,en,CORDELIA LIGHTING INC,small,2875
20180417,en,RENESAS ELECTRONICS CORP,large,2866
20161213,en,MAGLIULO JAMES D,micro,3734
20171029,en,CORDELIA LIGHTING INC,small,2875
20181029,en,CHEVRON PHILLIPS CHEMICAL CO LP,large,1622
20181127,en,PIERESEARCH1 LP,small,3633
20171117,en,META VIEW INC,small,2613
20181108,en,THE WAVE TALK INC,small,2886
20161209,en,LG CHEMICAL LTD,large,1729
20190513,en,TDK CORP,large,2874
20180313,en,SANYO ELECTRIC CO,large,1727
20160512,en,MAQUET CARDIOPULMONARY GmbH,large,3746
20181029,en,CHEVRON PHILLIPS CHEMICAL CO LP,large,1622
20180716,en,T MOBILE USA INC,large,2643
20171221,en,BAE SYS INF & ELECT SYS INTEG,large,3648
20180509,en,DAQRI LLC,small,2452
20180521,en,FREEPORT MCMORAN INC,large,3661
20181108,en,THE WAVE TALK INC,small,2886
20120813,en,APPOTRONICS CORP LTD,large,2875
20181108,en,KOREA ADVANCED INST SCI & TECH,small,2886
20190822,en,VOLLMERHAUSEN RICHARD H,small,2636
20181204,en,SAMSUNG ELECTRO MECH,large,2848
20181127,en,YOUNG FAST OPTOELECTRONICS CO,small,2623
20180403,en,EPIC BATTERY INC,small,2859
20181127,en,LIU TXU YEN,small,2623
20181127,en,CHEN CHIU WEN,small,2623
20181127,en,LIN MENG KUEI,small,2623
20180208,en,ESDEC B V,large,3631
20180524,en,GLYTECH LLC,small,1628
20171017,en,IBM,large,2171
20190618,en,RPG ACOUSTICAL SYSTEMS LLC,small,2837
20160616,en,KAO CORP,large,1647
20190618,en,RPG ACOUSTICAL SYSTEMS LLC,small,2837
20171121,en,LEXIA LEARNING SYSTEMS LLC,large,3715
20190225,en,LUMILEDS LLC,large,2897
20161209,en,SAENZ SAENZ FRANCISCO JOSE,small,3633
20190318,en,GUILL TOOL & ENG CO INC,small,1782
20181025,en,SAMSUNG ELECTRONICS CO LTD,large,2897
20160824,en,JANSSEN PHARMACEUTICALS INC,large,1645
20160713,en,OSHIMA SHIPBUILDING CO LTD,large,3617
20180510,en,IBM,large,2826
20170329,en,PETERSON ROSS H,large,3675
20181109,en,AMAZON TECH INC,large,2446
20170329,en,PETERSON ROSS H,large,3675
20181002,en,CANON KK,large,1787
20190402,en,MICROSOFT TECHNOLOGY LICENSING LLC,large,2648
20180118,en,GOOGLE LLC,large,2683
20181204,en,HONDA MOTOR CO LTD,large,3722
20180605,en,IBM,large,2842
20171206,en,MASSACHUSETTS INST TECHNOLOGY,small,2854
20180605,en,IBM,large,2842
20171120,en,NOVALED GMBH,large,1765
20180213,en,GM GLOBAL TECH OPERATIONS LLC,large,3746
20171120,en,FARAHANI SHARON J,small,3736
20170929,en,NIPPON PISTON RING CO LTD,large,3775
20190822,en,VOLLMERHAUSEN RICHARD H,small,2636
20190321,en,REALLY RIGHT STUFF LLC,small,3632
20160328,en,INTEL CORP,large,2835
20180529,en,HUAWEI TECH CO LTD,large,2137
20191028,en,EXELA PHARMA SCIENCES LLC,large,1612
20180702,en,LG ELECTRONICS INC,large,2875
20181213,en,PLEXXIKON INC,large,1621
20180308,en,NOKIA TECHNOLOGIES OY,large,2423
20190410,en,ONEPIN INC,large,2653
20160408,en,WUHAN HYNERTECH CO LTD,small,1727
20190416,en,CONOCOPHILLIPS CO,large,3674
20180928,en,NISSAN NORTH AMERICA INC,large,3612
20180831,en,ZEISS CARL SMT GMBH,large,2882
20190219,en,MILWAUKEE ELECTRIC TOOL CORP,large,3722
20170901,en,UNIV ALBERTA,large,1641
20181213,en,Tencent America LLC,large,2487
20190123,en,STOREDOT LTD,small,1724
20181210,en,POMPEI FRANK JOSEPH,small,2656
20160616,en,PTT GLOBAL CHEMICAL PUBLIC CO LTD,large,1765
20190603,en,CNPHARM CO LTD,small,1764
20180326,en,SAMSUNG DISPLAY CO LTD,large,2691
20180326,en,SAMSUNG DISPLAY CO LTD,large,2691
20190123,en,STOREDOT LTD,small,1724
20190731,en,LUMILEDS HOLDING BV,large,2875
20150918,en,SHENGYI TECHNOLOGY CO LTD,large,1765
20180712,en,Control Solutions LLC,small,3641
20181207,en,SUMITOMO ELECTRIC INDUSTRIES,large,2481
20191030,en,FOUR MILE BAY LLC,small,2651
20171206,en,IGNIS INNOVATION INC,large,2694
20190415,en,NXP USA INC,large,2631
20171207,en,GEN ELECTRIC,large,3763
20180221,en,HUAWEI TECH CO LTD,large,2412
20181221,en,SMART VENT PRODUCTS INC,small,3633
20181016,en,FCA US LLC,large,3612
20181026,en,CAMBRICON TECH CORPORATION LIMITED,large,2182
20181016,en,ST GEORGE JACOB A,large,3612
20181221,en,SMART VENT PRODUCTS INC,small,3633
20161219,en,LM WP PATENT HOLDING AS,large,3745
20181203,en,HAMILTON SUNDSTRAND CORP,large,3656
20190415,en,MARVELL WORLD TRADE LTD,large,2631
20161028,en,ZOOX INC,large,3665
20160526,en,TRIVASCULAR INC,large,3771
20181016,en,CAVITT NOAH,large,3612
20180221,en,HUAWEI TECH CO LTD,large,2412
20181101,en,SEASONS 4 INC,small,2844
20180130,en,HEWLETT PACKARD ENTPR DEV LP,large,2452
20190115,en,SQUIBB BRISTOL MYERS CO,large,1644
20181016,en,CAVITT NOAH,large,3612
20180201,en,UNITED MICROELECTRONICS CORP,large,2894
20181026,en,CAMBRICON TECH CORPORATION LIMITED,large,2182
20181205,en,CYPHYX LLC,small,2495
20180914,en,BROTHER IND LTD,large,2853
20180520,en,MOTION OFFENSE LLC,small,2454
20190405,en,EASTMAN CHEM CO,large,1762
20181205,en,CYPHYX LLC,small,2495
20181203,en,HAMILTON SUNDSTRAND CORP,large,3656
20180226,en,COMCAST CABLE COMM LLC,large,2425
20181016,en,ST GEORGE JACOB A,large,3612
20181101,en,SEASONS 4 INC,small,2844
20180226,en,COMCAST CABLE COMM LLC,large,2425
20151207,en,OTIS ELEVATOR CO,large,3654
20171127,en,IBM,large,2826
20181029,en,YAFFE PAUL,small,2654
20171027,en,DOREL JUVENILE GROUP INC,large,3638
20171027,en,HYUNDAI MOTOR CO LTD,large,3661
20171127,en,IBM,large,2826
20180409,en,HU LIANG,small,1736
20120302,en,TIBBLE JULIAN DAVID,large,2159
20190927,en,HYDROGLYDE COATINGS LLC,small,1762
20181016,en,CHARLES MACHINE WORKS,large,3671
20171027,en,KIA MOTORS CORP,large,3661
20181016,en,THE CHARLES MACHINES WORKS INC,large,3671
20170309,en,SMART PACKAGING SOLUTIONS,large,2876
20120302,en,GITHUB SOFTWARE UK LTD,large,2159
20180409,en,HU LIANG,small,1736
20170309,en,SMART PACKAGING SOLUTIONS,large,2876
20190329,en,IBM,large,2677
20190628,en,S & C ELECTRIC CO,large,2847
20180320,en,INTEL CORP,large,2138
20190906,en,ONETRUST LLC,large,2191
20140313,en,UNIV UTAH RES FOUND,small,2872
20171116,en,SHENZHEN VALUELINK E COMMERCE CO LTD,small,3618
20180316,en,THE WELLBOSS COMPANY INC,large,3676
20190927,en,HYDROGLYDE COATINGS LLC,small,1762
20190329,en,IBM,large,2677
20190628,en,S & C ELECTRIC CO,large,2847
20171116,en,SHENZHEN VALUELINK E COMMERCE CO LTD,small,3618
20170113,en,FOTECH GROUP LTD,small,2877
20160331,en,KONECRANES GLOBAL CORP,large,3662
20190906,en,ONETRUST LLC,large,2191
20171114,en,GOOGLE LLC,large,2462
20190221,en,IBM,large,2645
20190621,en,SIGURDSON ROY ALLEN,micro,2875
20180227,en,KYOCERA CORP,large,2411
20180510,en,XCELSIS CORP,large,2894
20180427,en,BOARD OF REGENTS THE UNIV OF TEXAS,large,1629
20180510,en,XCELSIS CORP,large,2894
20171107,en,IBM,large,2492
20171121,en,TERVES INC,small,1768
20171212,en,AMAZON TECH INC,large,2836
20190711,en,IBM,large,2862
20180730,en,NAVICO HOLDING AS,large,2685
20190227,en,THE VIKI GROUP LLC,small,2471
20171114,en,GOOGLE LLC,large,2462
20171229,en,SHUTTERSTOCK INC,large,2163
20151207,en,FAUCONNET AURELIEN,large,3654
20171229,en,SHUTTERSTOCK INC,large,2163
20190711,en,IBM,large,2862
20171110,en,SK HYNIX INC,large,2132
20150603,en,HALLIBURTON ENERGY SERVICES INC,large,3674
20160523,en,KONINKLIJKE PHILIPS NV,large,3792
20150716,en,BREVILLE R & D PTY LTD,large,3754
20160523,en,KONINKLIJKE PHILIPS NV,large,3792
20160301,en,SONY CORP,large,2668
20180510,en,QUALCOMM INC,large,2632
20180713,en,RIJK ZWAAN ZAADTEELT EN ZAADHANDEL BV,large,1662
20180417,en,RENESAS ELECTRONICS CORP,large,2866
20160301,en,SONY CORP,large,2668
20180219,en,MICROSOFT TECHNOLOGY LICENSING LLC,large,2677
20180327,en,FIRST QUALITY TISSUE LLC,large,1748
20180430,en,TDK TAIWAN CORP,large,2872
20171110,en,SK HYNIX INC,large,2132
20180327,en,FIRST QUALITY TISSUE LLC,large,1748
20180430,en,TDK TAIWAN CORP,large,2872
20190610,en,CHEMOURS CO FC LLC,large,1622
20120813,en,APPOTRONICS CORP LTD,large,2875
20180427,en,UNIV TEXAS,large,1629
20180730,en,NAVICO HOLDING AS,large,2685
20171218,en,SAMSUNG ELECTRONICS CO LTD,large,2898
20171211,en,CATERPILLAR INC,large,3659
20161209,en,LG CHEMICAL LTD,large,1729
20171218,en,SAMSUNG ELECTRONICS CO LTD,large,2898
20180313,en,SANYO ELECTRIC CO,large,1727
20180427,en,UNIV TEXAS,large,1629
20160512,en,MAQUET CARDIOPULMONARY GmbH,large,3746
20160419,en,ANTEO TECH PTY LTD,small,1724
20171117,en,META VIEW INC,small,2613
20180427,en,3M INNOVATIVE PROPERTIES CO,large,1629
20190409,en,SHENZHEN GUANGJIAN TECH CO LTD,small,3645
20190409,en,SHENZHEN GUANGJIAN TECH CO LTD,small,3645
20180813,en,INTEGRATED ILLUMINATION SYSTEMS INC,large,2887
20180509,en,DAQRI LLC,small,2452
20190829,en,WILLIAMS PAUL L,micro,3711
20181108,en,KOREA ADVANCED INST SCI & TECH,small,2886
20120813,en,HU FEI,large,2875
20180206,en,WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,small,1649
20180227,en,KYOCERA CORP,large,2411
20120813,en,HU FEI,large,2875
20190621,en,SIGURDSON ROY ALLEN,micro,2875
20180206,en,WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,small,1649
20190218,en,NBD NANOTECHNOLOGIES INC,small,1765
20190412,en,SEMICONDUCTOR ENERGY LAB,large,1727
20180813,en,INTEGRATED ILLUMINATION SYSTEMS INC,large,2887
20181121,en,JENTZSCH KEVIN REED,small,3656
20180716,en,T MOBILE USA INC,large,2643
20190315,en,MAPSTED CORP,small,2642
20190603,en,CNPHARM CO LTD,small,1764
20181130,en,TOYOTA BOSHOKU KK,large,3632
20181127,en,LIU TXU YEN,small,2623
20171121,en,TERVES LLC,small,1768
20181127,en,LIN CHIN FONG,small,2623
20181127,en,HUANG CHUN HAO,small,2623
20180426,en,ADOLITE INC,small,2828
20190529,en,IBM,large,2893
20160824,en,GLAXOSMITHKLINE BIOLOGICALS SA,large,1645
20181127,en,YANG LI YEH,small,2623
20181127,en,LIN MENG KUEI,small,2623
20181127,en,PAI CHIH CHIANG,small,2623
20181204,en,SAMSUNG ELECTRO MECH,large,2848
20181127,en,PAI CHIH CHIANG,small,2623
20181127,en,CHEN CHIU WEN,small,2623
20181127,en,LIN CHIN FONG,small,2623
20181203,en,NUFLARE TECHNOLOGY INC,large,2881
20161028,en,HEWLETT PACKARD DEVELOPMENT CO,large,2623
20180420,en,TTI MACAO COMMERCIAL OFFSHORE LTD,large,3723
20190118,en,CEREBRAS SYSTEMS INC,small,2826
20160824,en,GLAXOSMITHKLINE BIOLOGICAL S A,large,1645
20190118,en,CEREBRAS SYSTEMS INC,small,2826
20160824,en,GLAXOSMITHKLINE BIOLOGICALS SA,large,1645
20180327,en,CELL ASSIST LLC,small,3661
20180411,en,AMYAN AVETIK,micro,3649
20171017,en,IBM,large,2171
20190607,en,IBM,large,2815
20171121,en,LEXIA LEARNING SYSTEMS INC,large,3715
20170914,en,NIPPON TELEGRAPH & TELEPHONE,large,2473
20161209,en,SAENZ SAENZ FRANCISCO JOSE,small,3633
20180524,en,GLYTECH LLC,small,1628
20171121,en,LEXIA LEARNING SYSTEMS LLC,large,3715
20171207,en,SEMICONDUCTOR MFG INT BEIJING CORP,large,2651
20171121,en,TERVES LLC,small,1768
20170914,en,NIPPON TELEGRAPH & TELEPHONE,large,2473
20171120,en,NOVALED GMBH,large,1765
20160713,en,OSHIMA SHIPBUILDING CO LTD,large,3617
20180322,en,TENCENT TECH SHENZHEN CO LTD,large,2698
20181030,en,FINISAR CORP,large,2835
20180327,en,CELLASSIST LLC,small,3661
20160824,en,GLAXOSMITHKLINE BIOLOGICAL S A,large,1645
20170329,en,FLORIDA TURBINE TECH INC,large,3675
20180411,en,AMYAN AVETIK,micro,3649
20150626,en,INTEL CORP,large,2174
20160824,en,JANSSEN PHARMACEUTICALS INC,large,1645
20150626,en,INTEL CORP,large,2174
20180510,en,IBM,large,2826
20181109,en,AMAZON TECH INC,large,2446
20180928,en,NICHIA CORP,large,2816
20180926,en,MASTER PLUMBING CORP,small,3652
20190319,en,CREDENCE ENG INC,small,3753
20180118,en,GOOGLE LLC,large,2683
20181023,en,SAMSUNG ELECTRONICS CO LTD,large,2842
20190116,en,MEJIA MELANIE,micro,3636
20180926,en,ROLLS ROYCE PLC,large,2836
20171027,en,TOYOTA MOTOR CO LTD,large,2468
20181023,en,SAMSUNG ELECTRONICS CO LTD,large,2842
20180430,en,EMC IP HOLDING CO LLC,large,2137
20180328,en,SUZHOU BAYHUB ELECTRONICS CO LTD,small,2181
20180328,en,SUZHOU BAYHUB ELECTRONICS CO LTD,small,2181
20181204,en,HONDA MOTOR CO LTD,large,3722
20170929,en,SEASONS 4 INC,small,2875
20180926,en,ROLLS ROYCE PLC,large,2836
20171027,en,TOYOTA MOTOR CO LTD,large,2468
20180724,en,PSEMI CORP,large,2842
20190506,en,PROCTER & GAMBLE,large,1743
20171120,en,FARAHANI SHARON J,small,3736
20170929,en,NIPPON PISTON RING CO LTD,large,3775
20170515,en,OY STOP NOISE FINLAND LTD,small,2648
20180427,en,TuSimple,small,2666
20171207,en,SEMICONDUCTOR MFG INT SHANGHAI CORP,large,2651
20180928,en,NICHIA CORP,large,2816
20190321,en,REALLY RIGHT STUFF LLC,small,3632
20171207,en,SEMICONDUCTOR MFG INT BEIJING CORP,large,2651
20191028,en,EXELA PHARMA SCIENCES LLC,large,1612
20181012,en,WALKWHIZ LLC,small,3643
20160531,en,COMMUNICATION COMPONENTS ANTENNA INC,small,2845
20180529,en,HUAWEI TECH CO LTD,large,2137
20190514,en,BIOSENSE WEBSTER ISRAEL LTD,large,2895
20151005,en,GEN ELECTRIC,large,2852
20130114,en,INSIGHT ANALYTICS SOLUTIONS HOLDINGS LTD,large,3649
20151005,en,GEN ELECTRIC,large,2852
20190410,en,ONEPIN INC,large,2653
20190416,en,CONOCOPHILLIPS CO,large,3674
20180215,en,NARRATIVE SCIENCE INC,small,2656
20180702,en,LG ELECTRONICS INC,large,2875
20171026,en,POWERPHASE LLC,small,3741
20190426,en,FORD GLOBAL TECH LLC,large,2647
20160408,en,WUHAN HYNERTECH CO LTD,small,1727
20180308,en,NOKIA TECHNOLOGIES OY,large,2423
20170912,en,CITIZEN ELECTRONICS,large,2879
20190426,en,FORD GLOBAL TECH LLC,large,2647
20170912,en,CITIZEN WATCH CO LTD,large,2879
20180814,en,UNIV PRINCETON,small,1626
20180814,en,UNIV PRINCETON,small,1626
20190506,en,PROCTER & GAMBLE,large,1743
20190215,en,IBM,large,1762
20180504,en,HUAWEI TECH CO LTD,large,2469
20170912,en,CITIZEN WATCH CO LTD,large,2879
20180529,en,SEAGATE TECHNOLOGY LLC,large,2181
20170912,en,CITIZEN ELECTRONICS,large,2879
20180831,en,ZEISS CARL SMT GMBH,large,2882
20170901,en,UNIV ALBERTA,large,1641
20180318,en,PAYPAL INC,large,3687
20180724,en,PSEMI CORP,large,2842
20181210,en,POMPEI FRANK JOSEPH,small,2656
20150918,en,SHENGYI TECHNOLOGY CO LTD,large,1765
20180123,en,CANON KK,large,2412
20181125,en,Carter Matthew Dale,micro,2875
20180917,en,SIEMENS GAMESA RENEWABLE ENERGY AS,large,3656
20171106,en,MP High Tech Solutions Pty Ltd,small,2884
20171206,en,IGNIS INNOVATION INC,large,2694
20191030,en,FOUR MILE BAY LLC,small,2651
20181127,en,PIERESEARCH1 LP,small,3633
20181125,en,Carter Matthew Dale,micro,2875
20171106,en,MP High Tech Solutions Pty Ltd,small,2884
20190219,en,MILWAUKEE ELECTRIC TOOL CORP,large,3722
20180712,en,Control Solutions LLC,small,3641
20190610,en,CHEMOURS CO FC LLC,large,1622
20151207,en,FAUCONNET AURELIEN,large,3654
20190122,en,TRANSIENT PLASMA SYSTEMS INC,small,2842
20180820,en,OBSCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU «PROGRAMMIRUEMYE SETI»,small,2469
20190115,en,SQUIBB BRISTOL MYERS CO,large,1644
20171207,en,GEN ELECTRIC,large,3763
20181109,en,BOSTON SCIENT SCIMED INC,large,3792
20181012,en,WALKWHIZ LLC,small,3643
